assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,69140,0,0,-2,2,0.0,0,2,0.0,1.0,0,Shkodran,0.0,0,0,0.0,1,False,0.0,0,,None,53,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,None,a,1,3,0.0,0,5031,329,25178,1328,0.0,0.0,Mustafi,0
0,0,0,100,25,0,98745,0,0,-1,1,0.0,0,2,0.0,0.2,0,Héctor,0.0,0,0,0.0,2,False,0.0,0,,2019-06-25T11:30:06.897107Z,54,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.2,False,None,a,1,3,0.0,0,5011,3695,5663,564,0.0,0.0,Bellerín,0
1,0,57,100,75,0,111457,0,0,-1,1,71.8,0,2,1.2,1.7,1,Sead,1.2,6,0,16.1,3,False,66.2,289,,2019-09-19T23:30:10.394662Z,54,0,0,0,111457.jpg,1.5,0,0,Kolasinac,0.8,False,None,a,1,3,23.0,6,22877,1883,68595,5994,0.2,1.1,Kolasinac,1
2,3,92,100,None,1,154043,0,0,1,-1,108.2,1,2,0.6,1.8,-3,Ainsley,0.8,10,0,27.1,4,False,136.4,490,,2019-09-22T18:00:10.824841Z,51,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,6.1,False,None,a,1,3,31.0,17,530127,9198,308465,110654,0.2,3.3,Maitland-Niles,0
0,2,95,None,None,1,39476,0,0,0,0,23.0,0,2,0.8,1.8,1,Sokratis,0.8,10,0,15.1,5,False,118.0,540,,None,50,0,0,0,39476.jpg,2.2,0,0,Papastathopoulos,1.8,False,None,a,1,3,10.0,13,65550,2614,72391,11287,0.2,2.6,Sokratis,1
0,1,54,0,0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.2,4,0,10.0,6,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.4,False,None,u,1,3,12.0,10,27860,27,80321,3792,0.0,2.0,Monreal,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,7,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,None,u,1,3,0.0,0,277,33,11597,279,0.0,0.0,Koscielny,0
0,0,0,100,25,0,233963,0,0,-1,1,0.0,0,2,0.0,0.2,0,Konstantinos,0.0,0,0,0.0,8,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,a,1,3,0.0,0,229,38,3307,111,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,None,u,1,3,0.0,0,144,14,2080,75,0.0,0.0,Jenkinson,0
0,0,0,100,100,0,156074,0,0,0,0,0.0,0,2,0.0,1.0,0,Rob,0.0,0,0,0.0,10,False,0.0,0,,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,None,a,1,3,0.0,0,4765,2058,4020,590,0.0,0.0,Holding,0
1,7,182,None,None,1,54694,0,0,0,0,81.1,1,4,8.0,9.0,5,Pierre-Emerick,8.0,10,6,63.6,11,False,238.2,540,,None,110,0,0,0,54694.jpg,7.3,0,0,Aubameyang,23.5,False,None,a,1,3,318.0,44,583912,64555,787369,81076,0.7,4.0,Aubameyang,2
0,2,49,0,0,0,59966,-1,1,-2,2,24.4,0,4,0.0,0.0,0,Alexandre,1.5,3,2,23.3,12,False,78.8,145,Ankle injury - Expected back 21 Oct,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,4.7,0,0,Lacazette,1.6,False,None,i,1,3,129.0,14,71016,248,211797,13638,0.2,1.5,Lacazette,1
0,0,0,0,0,0,205533,0,0,-1,1,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,13,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,44,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.8,False,None,n,1,3,0.0,0,30390,2063,80393,6016,0.0,0.0,Nketiah,0
0,1,117,None,None,1,80201,0,0,0,0,0.0,0,1,2.0,3.0,2,Bernd,2.0,10,0,17.5,14,False,175.8,540,,None,50,0,0,0,80201.jpg,3.0,0,29,Leno,5.9,False,None,a,1,3,0.0,18,210930,6349,204898,28062,0.4,3.6,Leno,2
0,0,15,100,100,0,37605,0,0,-2,2,18.8,0,3,0.5,1.5,0,Mesut,0.5,1,0,2.7,15,False,6.4,70,,2019-08-09T17:00:13.419733Z,73,0,0,0,37605.jpg,2.0,0,0,Özil,0.7,False,None,a,1,3,2.0,2,11989,1726,78860,4505,0.1,0.3,Özil,0
